Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,6,1
2,0,5,10
3,0,5,1
4,0,6,1
5,0,3,1
6,0,2,1
7,0,2,1
Timeslot 2
0,1,8,10
1,1,8,10
2,1,8,1
3,1,8,1
4,1,5,10
5,1,6,0
6,1,3,1
7,1,3,1
8,1,2,1
9,1,2,1
Timeslot 3
0,2,7,1
1,2,8,10
2,2,5,1
3,2,6,1
4,2,6,1
5,2,5,1
6,2,6,0
7,2,6,0
8,2,4,0
9,2,3,0
10,2,2,1
11,2,2,1
12,2,2,0
Timeslot 4
0,3,8,0
1,3,8,0
2,3,7,1
3,3,7,0
4,3,7,1
5,3,5,0
6,3,6,1
7,3,3,1
8,3,4,0
9,3,3,0
10,3,2,1
11,3,2,0
12,3,2,0
13,3,2,0
14,3,2,0
Timeslot 5
0,4,7,1
1,4,7,1
2,4,8,1
3,4,7,1
4,4,8,1
5,4,8,0
6,4,7,0
7,4,5,0
8,4,5,0
9,4,5,0
10,4,5,0
11,4,3,0
12,4,4,0
13,4,4,0
14,4,2,1
15,4,2,0
Timeslot 6
0,5,8,1
1,5,7,10
2,5,8,1
3,5,8,1
4,5,6,10
5,5,6,0
6,5,5,0
7,5,6,0
8,5,6,0
9,5,3,1
10,5,3,0
11,5,4,1
12,5,3,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,8,1
1,6,7,1
2,6,6,1
3,6,5,1
4,6,5,1
5,6,6,10
6,6,3,1
7,6,2,0
8,6,2,1
9,6,2,1
Objective Function value: 1019



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,6,1
2,0,5,10
3,0,5,1
4,0,6,1
5,0,3,1
6,0,2,1
7,0,2,1
Timeslot 2
0,1,8,10
1,1,8,10
2,1,8,1
3,1,8,1
4,1,5,10
5,1,6,0
6,1,3,1
7,1,3,1
8,1,2,1
9,1,2,1
Timeslot 3
0,2,7,1
1,2,8,10
2,2,5,1
3,2,6,1
4,2,6,1
5,2,5,1
6,2,6,0
7,2,6,0
8,2,4,0
9,2,3,0
10,2,2,1
11,2,2,1
12,2,2,0
Timeslot 4
1,3,8,0
3,3,7,0
2,3,7,1
4,3,7,1
6,3,6,1
7,3,3,1
10,3,2,1
0,3,8,0
5,3,5,0
8,3,4,0
9,3,3,0
11,3,2,0
12,3,2,0
13,3,2,0
14,3,2,0
Timeslot 5
0,4,7,1
1,4,7,1
2,4,8,1
3,4,7,1
4,4,8,1
5,4,8,0
6,4,7,0
7,4,5,0
8,4,5,0
9,4,5,0
10,4,5,0
11,4,3,0
12,4,4,0
13,4,4,0
14,4,2,1
15,4,2,0
Timeslot 6
0,5,8,1
1,5,7,10
2,5,8,1
3,5,8,1
4,5,6,10
5,5,6,0
6,5,5,0
7,5,6,0
8,5,6,0
9,5,3,1
10,5,3,0
11,5,4,1
12,5,3,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,8,1
1,6,7,1
2,6,6,1
3,6,5,1
4,6,5,1
5,6,6,10
6,6,3,1
7,6,2,0
8,6,2,1
9,6,2,1
Objective Function value: 1036



